ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1075849176::Physical Name,1075850088::Column Order  [read only]
"1075838981::271","FullyQualifiedTableName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::272","SchemaName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::273","TableName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::274","ColumnName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::275","OrdinalPosition",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::276","FullyQualifiedDomainName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::277","DomainName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::278","DataType",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::279","IsNullable",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::280","DefaultName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::281","DefaultNameDefinition",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::282","CheckConstraintRuleName",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::283","CheckConstraintRuleNameDefinition",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint","",""
"1075838981::400","Note",Column,"GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicleDetail","Note","2"
