ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name,1073742125::Definition,1075848986::Value  [read only],1075849083::Default,1075849148::Comments,1075850193::Dependent Objects  [read only],1075850212::Constraint Name,1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only]
1075839170::721,DF_sdCountryStringVariantsPurchaseDate_Date,Default Constraint Usage,DF_sdCountryStringVariantsPurchaseDate_Date,DF_sdCountryStringVariantsPurchaseDate_Date,,'19991231',DF_Template_Date,,DF_ManufacturerVehicleStock_PurchaseDate_Date,DF_sdCountryStringVariantsPurchaseDate_Date,DF_sdCountryStringVariantsPurchaseDate_Date,
1075839170::724,DF_SaleDate_Date,Default Constraint Usage,DF_SaleDate_Date,DF_SaleDate_Date,,'19991231',DF_Template_Date,,DF_SalesOrderVehicle_SaleDate_Date,DF_SaleDate_Date,DF_SaleDate_Date,
1075839170::725,DF_SysEndTime_SysEndTime,Default Constraint Usage,DF_SysEndTime_SysEndTime,DF_SysEndTime_SysEndTime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,"DF_SalesOrderVehicleDetail_SysEndTime_SysEndTime,DF_ManufacturerVehicleStock_SysEndTime_SysEndTime,DF_ManufacturerVehicleModel_SysEndTime_SysEndTime,DF_SalesOrderVehicle_SysEndTime_SysEndTime,DF_Country_SysEndTime_SysEndTime,DF_Staff_SysEndTime_SysEndTime,DF_Customer_SysEndTime_SysEndTime,DF_Template_SysEndTime_1062630532",DF_SysEndTime_SysEndTime,DF_SysEndTime_SysEndTime,
1075839170::727,DF_SysStartTime_SysStartTime,Default Constraint Usage,DF_SysStartTime_SysStartTime,DF_SysStartTime_SysStartTime,,sysdatetime(),DF_Template_Sysdatetime,,"DF_SalesOrderVehicleDetail_SysStartTime_Sysdatetime,DF_ManufacturerVehicleStock_SysStartTime_Sysdatetime,DF_ManufacturerVehicleModel_SysStartTime_Sysdatetime,DF_SalesOrderVehicle_SysStartTime_Sysdatetime,DF_Country_SysStartTime_Sysdatetime,DF_Staff_SysStartTime_Sysdatetime,DF_Customer_SysStartTime_Sysdatetime,DF_ManufacturerVehicleMake_SysStartTime_Sysdatetime",DF_SysStartTime_SysStartTime,DF_SysStartTime_SysStartTime,
1075839170::730,DF_LineItemNumber_OrdinalNumber,Default Constraint Usage,DF_LineItemNumber_OrdinalNumber,DF_LineItemNumber_OrdinalNumber,,1,DF_Template_OrdinalNumber,,DF_SalesOrderVehicleDetail_LineItemNumber_SequenceStartingValue,DF_LineItemNumber_SequenceStartingValue,DF_LineItemNumber_OrdinalNumber,
1075839170::732,DF_CostOfFee_Price,Default Constraint Usage,DF_CostOfFee_Price,DF_CostOfFee_Price,,0,DF_Template_Price,,"DF_ManufacturerVehicleStock_RepairsCharge_Price,DF_ManufacturerVehicleStock_PartsCharge_Price,DF_ManufacturerVehicleStock_DeliveryCharge_Price",DF_CostOfFee_Price,DF_CostOfFee_Price,
1075839170::733,DF_DiscountedPrice_Price,Default Constraint Usage,DF_DiscountedPrice_Price,DF_DiscountedPrice_Price,,0,DF_Template_Price,,DF_SalesOrderVehicleDetail_LineItemDiscount_Price,DF_DiscountedPrice_Price,DF_DiscountedPrice_Price,
1075839170::734,DF_VehiclePrice_Price,Default Constraint Usage,DF_VehiclePrice_Price,DF_VehiclePrice_Price,,0,DF_Template_Price,,"DF_ManufacturerVehicleStock_Cost_Price,DF_SalesOrderVehicleDetail_SalePrice_Price,DF_SalesCategoryThreshold_LowerThreshold_Price,DF_SalesCategoryThreshold_UpperThreshold_Price,DF_SalesOrderVehicle_TotalSalePrice_Price",DF_VehiclePrice_Price,DF_VehiclePrice_Price,
1075839170::741,DF_SalesOrderVehicleDetail_SysStartTime_Sysdatetime,Default Constraint Usage,DF_SalesOrderVehicleDetail_SysStartTime_Sysdatetime,DF_SalesOrderVehicleDetail_SysStartTime_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,DF_SalesOrderVehicleDetail_SysStartTime_SysStartTime,DF_SalesOrderVehicleDetail_SysStartTime_Sysdatetime,
1075839170::743,DF_SalesOrderVehicleDetail_SysEndTime_SysEndTime,Default Constraint Usage,DF_SalesOrderVehicleDetail_SysEndTime_SysEndTime,DF_SalesOrderVehicleDetail_SysEndTime_SysEndTime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,DF_SalesOrderVehicleDetail_SysEndTime_SysEndTime,DF_SalesOrderVehicleDetail_SysEndTime_SysEndTime,
1075839170::750,DF_ManufacturerVehicleStock_SysStartTime_Sysdatetime,Default Constraint Usage,DF_ManufacturerVehicleStock_SysStartTime_Sysdatetime,DF_ManufacturerVehicleStock_SysStartTime_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,DF_ManufacturerVehicleStock_SysStartTime_SysStartTime,DF_ManufacturerVehicleStock_SysStartTime_Sysdatetime,
1075839170::752,DF_ManufacturerVehicleStock_SysEndTime_SysEndTime,Default Constraint Usage,DF_ManufacturerVehicleStock_SysEndTime_SysEndTime,DF_ManufacturerVehicleStock_SysEndTime_SysEndTime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,DF_ManufacturerVehicleStock_SysEndTime_SysEndTime,DF_ManufacturerVehicleStock_SysEndTime_SysEndTime,
1075839170::768,DF_ManufacturerVehicleModel_SysStartTime_Sysdatetime,Default Constraint Usage,DF_ManufacturerVehicleModel_SysStartTime_Sysdatetime,DF_ManufacturerVehicleModel_SysStartTime_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,DF_ManufacturerVehicleModel_SysStartTime_SysStartTime,DF_ManufacturerVehicleModel_SysStartTime_Sysdatetime,
1075839170::770,DF_ManufacturerVehicleModel_SysEndTime_SysEndTime,Default Constraint Usage,DF_ManufacturerVehicleModel_SysEndTime_SysEndTime,DF_ManufacturerVehicleModel_SysEndTime_SysEndTime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,DF_ManufacturerVehicleModel_SysEndTime_SysEndTime,DF_ManufacturerVehicleModel_SysEndTime_SysEndTime,
1075839170::778,DF_SalesOrderVehicle_SysStartTime_Sysdatetime,Default Constraint Usage,DF_SalesOrderVehicle_SysStartTime_Sysdatetime,DF_SalesOrderVehicle_SysStartTime_Sysdatetime,,sysdatetime(),DF_Template_Sysdatetime,,,DF_SalesOrderVehicle_SysStartTime_SysStartTime,DF_SalesOrderVehicle_SysStartTime_Sysdatetime,
1075839170::780,DF_SalesOrderVehicle_SysEndTime_SysEndTime,Default Constraint Usage,DF_SalesOrderVehicle_SysEndTime_SysEndTime,DF_SalesOrderVehicle_SysEndTime_SysEndTime,,'99991231 23:59:59.9999999',DF_Template_SysEndTime,,,DF_SalesOrderVehicle_SysEndTime_SysEndTime,DF_SalesOrderVehicle_SysEndTime_SysEndTime,
