ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1073742125::Definition,1075849017::Attribute,1075849148::Comments,1075850008::Update Attribute Definition to Match
1075838981::271,Fully_Qualified_Table_Name,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::272,Schema_Name,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::273,Table_Name,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::274,Column_Name,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::275,Ordinal_Position,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,Position of a row,,Position of a row,
1075838981::276,Fully_Qualified_Domain_Name,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::277,Domain_Name,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::278,Data_Type,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::279,Is_Nullable,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::280,Default_Name,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::281,Default_Name_Definition,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::282,Check_Constraint_Rule_Name,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::283,Check_Constraint_Rule_Name_Definition,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,,,,
1075838981::400,Note,Column,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Sales Order Vehicle Detail,Row auditting purpose,,Row auditting purpose,
