ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1073742125::Definition,1073742126::Name,1075850008::Update Attribute Definition to Match,1075850303::Attribute Definition
1075838983::32,<root>,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,,<root>,,
1075838983::33,<default>,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,,<default>,,
1075838983::34,String,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,,String,,
1075838983::35,Number,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,,Number,,
1075838983::36,Datetime,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,,Datetime,,
1075838983::37,Blob,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,,Blob,,
1075838983::362,dEuropeanCarManufacturer,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,root Domain for domains within the European Car Manufacturer,dEuropeanCarManufacturer,,root Domain for domains within the European Car Manufacturer
1075838983::363,dBlob,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Domain that pertains to large files.,dBlob,,Domain that pertains to large files.
1075838983::364,dNumber,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Domain for numerical data types.,dNumber,,Domain for numerical data types.
1075838983::365,dDatetime,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Domain for date and time data types.,dDatetime,,Domain for date and time data types.
1075838983::366,dString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Domain for character data types.,dString,,Domain for character data types.
1075838983::367,sdSequenceNumber,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Numerical object to categorize vehicles based on their sale price.,sdSequenceNumber,,Numerical object to categorize vehicles based on their sale price.
1075838983::368,SurrogateKeyNumber,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Primary key for EntityName(),SurrogateKeyNumber,,Primary key for EntityName()
1075838983::369,sdVehicleSalesCost,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for objects relating to vehicle price.,sdVehicleSalesCost,,Subdomain for objects relating to vehicle price.
1075838983::370,VehicleSalePrice,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,"Price of vehicle determined at time of sale. 
",VehicleSalePrice,,"Price of vehicle determined at time of sale. 
"
1075838983::371,DiscountedSalePrice,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,"Price of vehicle with discounts applied at time of sale. 
",DiscountedSalePrice,,"Price of vehicle with discounts applied at time of sale. 
"
1075838983::372,Fees,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Additional fees applied based on pre-sale preparation of Vehicle.,Fees,,Additional fees applied based on pre-sale preparation of Vehicle.
1075838983::373,sdDate,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for objects containing date properties.,sdDate,,Subdomain for objects containing date properties.
1075838983::374,SaleDate,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,The date a Vehicle is/was sold.,SaleDate,,The date a Vehicle is/was sold.
1075838983::375,PurchaseDate,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,The date the Vehicle is/was purchased.,PurchaseDate,,The date the Vehicle is/was purchased.
1075838983::376,sdHashKey,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,remove,sdHashKey,,
1075838983::377,RowLevelKey,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,remove,RowLevelKey,,
1075838983::378,sdLongTextString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for character data types containing large amounts of text.,sdLongTextString,,Subdomain for character data types containing large amounts of text.
1075838983::379,sdFlagString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for character data types that represent a boolean character.,sdFlagString,,Subdomain for character data types that represent a boolean character.
1075838983::380,Note,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Object that is used to supply reason for auditting a row within a table of the database.,Note,,Object that is used to supply reason for auditting a row within a table of the database.
1075838983::381,sdShortTextString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for character data types containing small amounts of text.,sdShortTextString,,Subdomain for character data types containing small amounts of text.
1075838983::382,StockCode,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Object that is made up of a combination of numerical and character values and is used to identify A Vehicle in Stock. (unique to each vehicle),StockCode,,Object that is made up of a combination of numerical and character values and is used to identify A Vehicle in Stock. (unique to each vehicle)
1075838983::383,InvoiceNumber,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Object that is made up of a combination of numerical and character values and is used to uniquely identify a vehicle upon sale.,InvoiceNumber,,Object that is made up of a combination of numerical and character values and is used to uniquely identify a vehicle upon sale.
1075838983::384,sdVehicleString,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Subdomain for objects that describe the characteristics of a Vehicle.,sdVehicleString,,Subdomain for objects that describe the characteristics of a Vehicle.
1075838983::385,VehicleIdentifier,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Character object that is used to represent the make and model of a vehicle,VehicleIdentifier,,Character object that is used to represent the make and model of a vehicle
1075838983::386,VehicleColor,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Object representative of the color of a Vehicle,VehicleColor,,Object representative of the color of a Vehicle
1075838983::387,sdSysTime,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Date and time object used for database auditting purposes.,sdSysTime,,Date and time object used for database auditting purposes.
1075838983::388,SysStartTime,Domain,GroupOne-RawEuropeanCarManufacturer-SQLServer2019,Date and time object used for database auditting purposes.,SysStartTime,,Date and time object used for database auditting purposes.
