ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742244::Owner Path  [read only],1073742126::Name,1075849017::Attribute
1075838981::840,CategoryDescription,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesCategoryThreshold,Category Description,Category Description
1075838981::282,CheckConstraintRuleName,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,Check Constraint Rule Name,Check Constraint Rule Name
1075838981::283,CheckConstraintRuleNameDefinition,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,Check Constraint Rule Name Definition,Check Constraint Rule Name Definition
1075838981::601,ClassTime,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization,Class Time,Class Time
1075838981::274,ColumnName,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,Column Name,Column Name
1075838981::811,Cost,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock,Cost,Cost
1075838981::756,CountryID,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country,Country ID,Country ID
1075838981::759,CountryID,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer,Country ID,Country ID
1075838981::762,CountryID,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleMake,Country ID,Country ID
1075838981::768,CountryISO2,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country,Country ISO2,Country ISO2
1075838981::764,CountryISO3,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country,Country ISO3,Country ISO3
1075838981::766,CountryName,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Country,Country Name,Country Name
1075838981::775,CustomerAddress1,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer,Customer Address1,Customer Address1
1075838981::776,CustomerAddress2,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer,Customer Address2,Customer Address2
1075838981::828,CustomerComments,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.ManufacturerVehicleStock,Customer Comments,Customer Comments
1075838981::884,CustomerExpenditureClassificationID,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.CustomerExpenditureClassification,Customer Expenditure Classification ID,Customer Expenditure Classification ID
1075838981::887,CustomerExpenditureClassificationID,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer,Customer Expenditure Classification ID,Customer Expenditure Classification ID
1075838981::952,CustomerExpenditureClassifier,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.CustomerExpenditureClassification,Customer Expenditure Classifier,Customer Expenditure Classifier
1075838981::770,CustomerID,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer,Customer ID,Customer ID
1075838981::773,CustomerID,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.SalesOrderVehicle,Customer ID,Customer ID
1075838981::980,CustomerName,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer,Customer Name,Customer Name
1075838981::780,CustomerPostalCode,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer,Customer Postal Code,Customer Postal Code
1075838981::777,CustomerTown,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.Customer,Customer Town,Customer Town
1075838981::278,DataType,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.uvw_FindColumnDefinitionPlusDefaultAndCheckConstraint,Data Type,Data Type
1075838981::603,DateAdded,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization,Date Added,Date Added
1075838981::620,DateOfLastUpdate,Attribute,GroupOne-RawEuropeanCarManufacturer-SQLServer2019.UserAuthorization,Date Of Last Update,Date Of Last Update
