"Table Name","Column Name","Column Data_Type"
Country,,
Customer,,
ManufacturerVehicleModel,,
ManufacturerVehicleMake,,
ManufacturerVehicleStock,,
CustomerExpenditureClassification,,
SalesCategoryThreshold,,
SalesOrderVehicle,,
SalesOrderVehicleDetail,,
Staff,,
Department,,
ManufacturerMarketingCategory,,
StaffHistory,Salary,char(18)
StaffHistory,Notes,char(18)
StaffHistory,StaffName,char(18)
StaffHistory,StaffEmail,char(18)
UserAuthorization,ClassTime,char(18)
UserAuthorization,GroupMemberLastName,char(18)
UserAuthorization,GroupMemberFirstName,char(18)
UserAuthorization,GroupName,char(18)
UserAuthorization,SysEndTime,char(18)
CustomerHistory,IsCustomerCreditRisk,char(18)
CustomerHistory,IsCustomerReseller,char(18)
DepartmentHistory,Notes,char(18)
DepartmentHistory,DepartmentName,char(18)
ManufacturerVehicleModelHistory,Notes,char(18)
ManufacturerVehicleModelHistory,ManufacturerModelName,char(18)
ManufacturerVehicleModelHistory,ManufacturerModelVariant,char(18)
ManufacturerVehicleMakeHistory,,
ManufacturerVehicleStockHistory,Notes,char(18)
ManufacturerVehicleStockHistory,StockCode,char(18)
ManufacturerVehicleStockHistory,Cost,char(18)
ManufacturerVehicleStockHistory,DeliveryCharge,char(18)
ManufacturerVehicleStockHistory,PartsCharge,char(18)
ManufacturerVehicleStockHistory,PurchaseDate,char(18)
ManufacturerVehicleStockHistory,RepairsCharge,char(18)
CountryHistory,Notes,char(18)
CountryHistory,CountryISO3,char(18)
CountryHistory,CountryISO2,char(18)
CountryHistory,SalesRegion,char(18)
SalesOrderVehicleHistory,Notes,char(18)
SalesOrderVehicleHistory,SaleDate,char(18)
SalesOrderVehicleHistory,InvoiceNumber,char(18)
SalesOrderVehicleDetailHistory,Notes,char(18)
SalesOrderVehicleDetailHistory,SalePrice,char(18)
SalesOrderVehicleDetailHistory,LineItemNumber,char(18)
SalesOrderVehicleDetailHistory,LineItemDiscount,char(18)
SalesOrderVehicleDetailHistory,DerivedDiscountedSalePrice,char(18)
SalesOrderVehicleDetailHistory,StockCode,char(18)
